"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Delete exercise","LMS service","Sat Mar 28 09:51:04 UTC 2026","passed","Sat Mar 28 09:51:04 UTC 2026","Delete entity","Exercises","",""
"","252","Get file with incorrect file id","LMS service","Sat Mar 28 09:51:08 UTC 2026","passed","Sat Mar 28 09:51:08 UTC 2026","Validate entity","Files","",""
"","560","Create user","LMS service","Sat Mar 28 09:51:08 UTC 2026","passed","Sat Mar 28 09:51:09 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Sat Mar 28 09:51:08 UTC 2026","passed","Sat Mar 28 09:51:08 UTC 2026","Create entity","Users","",""
"
Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
","283","Login with correct email and password","LMS service","Sat Mar 28 09:50:59 UTC 2026","passed","Sat Mar 28 09:51:00 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Sat Mar 28 09:51:09 UTC 2026","passed","Sat Mar 28 09:51:09 UTC 2026","Get entity","Users","",""
"","553","Create user","LMS service","Sat Mar 28 09:51:07 UTC 2026","passed","Sat Mar 28 09:51:08 UTC 2026","Create entity","Users","",""
"","266","Create file with empty filename","LMS service","Sat Mar 28 09:51:06 UTC 2026","passed","Sat Mar 28 09:51:06 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Sat Mar 28 09:51:06 UTC 2026","passed","Sat Mar 28 09:51:06 UTC 2026","Get entity","Files","",""
"","286","Get courses","LMS service","Sat Mar 28 09:51:01 UTC 2026","passed","Sat Mar 28 09:51:01 UTC 2026","Get entities","Courses","",""
"","31","Create course","LMS service","Sat Mar 28 09:51:01 UTC 2026","passed","Sat Mar 28 09:51:01 UTC 2026","Create entity","Courses","",""
"","17","Get exercises","LMS service","Sat Mar 28 09:51:04 UTC 2026","passed","Sat Mar 28 09:51:04 UTC 2026","Get entities","Exercises","",""
"","22","Update exercise","LMS service","Sat Mar 28 09:51:03 UTC 2026","passed","Sat Mar 28 09:51:03 UTC 2026","Update entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Sat Mar 28 09:51:07 UTC 2026","passed","Sat Mar 28 09:51:07 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sat Mar 28 09:51:02 UTC 2026","passed","Sat Mar 28 09:51:02 UTC 2026","Create entity","Exercises","",""
"","267","Create file","LMS service","Sat Mar 28 09:51:05 UTC 2026","passed","Sat Mar 28 09:51:05 UTC 2026","Create entity","Files","",""
"","292","Get exercise","LMS service","Sat Mar 28 09:51:03 UTC 2026","passed","Sat Mar 28 09:51:03 UTC 2026","Get entity","Exercises","",""
"","22","Delete file","LMS service","Sat Mar 28 09:51:07 UTC 2026","passed","Sat Mar 28 09:51:07 UTC 2026","Delete entity","Files","",""
"","301","Update course","LMS service","Sat Mar 28 09:51:00 UTC 2026","passed","Sat Mar 28 09:51:00 UTC 2026","Update entity","Courses","",""
